"Niveaux_des_prix";"Qualite_du_service_client";"Qualite_garantie";"Satisfaction";"Resume";"Plus";"Moins"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Adhésion menée rapidement";"Efficacité";"Mensonge et tromperie, ma correspondante m'a affirmé que je pouvais changer de mutuelle en cours d'année si la prorogation ne m'avait pas été notifiée par lettre recommandée. Ce qui est faux et je suis entrain de payer jusqu'au 31 décembre 2 mutuelles pour rien! J'ai été abusé honteusement et j'ai déjà publié cet avis pour lequel le service qualité m'avait promis au moins une réponse que j'attends toujours,pour moi j'ai été l'objet d'un abus de confiance"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"ATTENTE DE REMBOURSEMENT";"AUCUN";"TELLEMENT , MAIS LE PLUS IMPORTANT CE SONT LES REMBOURSEMENTS TOUJOURS EN ATTENTE APRES DES DIZAINES DE RELANCE ET ILS NE SAVENT JAMAIS QUAND CELA SERA FAIT AUCUN DELAI N'EST DONNE.
PAR CONTRE POUR LE PRÉLÈVEMENT JAMAIS UN RETARD!
QUE FAIT-ON ????????????????????????????"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Bonjour, je suis étonnée des cas similaires au mien...N'avez vous pas prêté votre voiture à vos enfants? Vous savez, ils ne dissent pas toujours tout...Vous maintenez votre declaration? Je note! Nous ne sommes pas à mon proces mais Presque. Aucune justification valable à la déchéance de garantie si ce n'est que l'expert n'est pas ok avec ma declaration qui dit juste que mon véhicule a été endommagé en stationnement. La Maif, on a tous à gagner à se faire confiance""...Il faudrait revoir ce slogan. Je ne compte pas en rester là.";"Aucun. Il existait des plus lorsque la Maif n'était pas ""ouverte"" à tout le monde.";"aucune réactivité-font ""les morts"" aucune justification. Pas de relation client."
"Bonne";"Mauvais";"Assez bonne";"Mauvais";"Une banque reste une banque et une assurance, une assurance";"Prix";"Pas de service client dédié a l'assurance , temp de reaction, et temp traitement dossier. Faut pas être en panne parce que la dépanneuse arrive 3 mois aprés ! Il m'on résilier sans me prévenir , se qui aujourd'hui me ferme les portes des assurances et aujourd'hui je suis face a un mur , avec ma voiture sans assurance tout sa pour une malheureuse plaque de verglas et un pare choc enfoncé!"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"j'ai souscrit, le 1 er novembre 2015, une garantie de loyer impayé car je loue un appartement. mon locataire a donné congé pour le 30 juin 2016, Pacifica ne veut pas annuler cette assurance avant la date anniversaire de l'échéance, c'est à dire le 1er décembre prochain, même si je n'ai pas de locataire  
il faut savoir que le G.L.I est subordonnée à une location et pourtant si le locataire vous quitte, vous continuez à être prélevé, ce n'est pas suffisant pour résilier le contrat !";" le plus , c'est MOI ! je suis une bonne cliente .";"je ne vois aucune justification logique dans ce refus ! donc je vais résilier toutes mes autres assurances ."
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Je résilie  la mutuelle de mon fils qui est prix en charge pas son entreprise  je demande le remboursements de ses mois prélevés  reponse nous ne remboursons pas ensuite je  prend un traitement mensuel  me rendant a la pharmacie on me dit que je ne suis plus couverte insi que mon mari par la mutuelle à  notre grande suprise ils nous ont radiés  tous les 3 alors que c etait juste mon fils de plus je me suis déplacé  deux fois dans leurs bureaux  donc pas de prelevements en avril mai de mes cotisations donc je retourne aux bureaux ( j ai surment d autres priorites je m occupe de personnes handicapées  donc je prend sur mon temps) bref  donc re explications que ce n est qu une personne à  resilier donc on rectifie l erreur et a ma grande surprise je recois mon nouvel echeancier le 15 juillet on me fais u  prelevement de 657.50  aout 124 e je ne sais pas ou ils sont allés  cherché  cette somme donc rebelotte je retourne au bureau  en plus ce qui me fais rager c'est  que l erreur viens d eux et qui en paie les consequences toujours l abonné  mais ça  ne va pas se passer comme ça";"Pas de plus";"Que des moins"
"Très bonne";"Bonne";"Bonne";"Bonne";"Je suis assurer chez eux depuis 5 ans  et tout ce passe très bien. Les conseillers sont à l'écoute, et lors d'un sinistre il y a eu une bonne réactivité,  on m'as proposé des solutions.  Je vous conseille cette assureur.";"Le prix
Réactivité en cas de sinistre
Conseiller rapidement disponible";"Je n'ai pas de point négatif à signaler"
"Assez bonne";"Mauvais";"Mauvais";"Mauvais";"Bonjour j ai sourit à cette assurance via une conseillère  en ligne je me suis retrouvé  expulsé  au bout de 1 moi et demi pour le motif agravation de risque personne de chez eux on pu m expliqué  pourquoi  après avoir pris mais 3 mois d acompte que je sois viré  chez eux biensur aucun remboursement des 1 moi et demi donnée et pour ma prochaine assurance j ai eu le droit grâce à leur petite note sur mon relevé  d information agravation de risque rupture de contrat une augmentation de 50% de mon assurance chez toutes les assurances";"Prix raisonnables";"Mauvais conseiller  
Mauvaise gestion clients 
Je vous demanderais d éviter absolument cette assurance malgrés  le prix raisonnable  la suite est pas jolie en cas de problème"
"Assez bonne";"Assez bonne";"Assez bonne";"Assez bonne";"C'est une bonne assurance qui est référencée pour les courtiers sur OMNIASSURE. (omniassure.fr). Mais maintenant de toute façon tout se fait par l'ANI à savoir la mutuelle santé par l'Entreprise pour les salariés de l'Entreprise. Alors c'est pas évident qu'une mutuelle qui est top en santé individuelle soit forcément top en santé d'entreprise...";"top";"moins top"
"Mauvais";"Mauvais";"Assez bonne";"Mauvais";"Ma mère très âgée dont je gère les affaires, a un contrat complémentaire santé et est en maison de retraite depuis plus de 10 ans. Ses revenus ne couvrent pas ses frais d'hébergement, jusqu'ici elle a utilisé ses économies pour pouvoir être dans une modeste maison de retraite. En juillet dernier, les économies épuisées, j'ai dû contraint et forcé résilier le contrat complémentaire santé avant la date d'échéance (6 mois avant). J'ai voulu par courrier et à plusieurs reprises par téléphone expliquer et négocier cette sortie, mais à chaque fois j'ai été éconduit sans élégance par mon interlocuteur. Sans ressources suffisantes, ni biens (immobiliers ou mobiliers) à vendre que peut-on faire ? Aujourd'hui je suis harcelé par intrum-justitia (contentieux classique)  et depuis quelques jours par un huissier. Si problème, voilà le comportement de Solly Azar.";"RAS";"RAS"
