x,y
Zut,-0.75
Zut,-0.25
zombi,-0.25
zippy,1
zeste,0.5
zénith,0.4
zèle,0.5
zélé,-1
zélé,0.4
zaps,-1
zapper,-1
zappé,-1
Yay,1
yanks,-0.4
xénophobie,-0.25
wtf,-1
wripping,-1
wrip,-1
wows,1
wooziness,-0.25
wits,0.6
Wieldy,1
whoooa,1
wellrun,1
wellconnected,1
wacko,-1
wack,-1
vulnérable,-0.5
vulgaire,-0.5
voyous,-1
voyou,-0.5
voyou,-0.25
voyant,-0.8
voyant,-0.25
voyant,0.25
voyage de noces,0.8
voulu,0.8
vorace,-0.8
vomit,-0.5
vomissement,-0.5
vomir,-1
vomir,-0.6
vomi,-1
vomi,-0.5
volumineux,-1
volontiers,0.5
volontier,0.5
volonté,0.75
voleurs,-1
voleur,-1
voleur,-0.5
voler,-0.75
volé,-1
volé,-0.75
vole,-1
vole,-0.5
volatilité,-0.5
volatil,-0.4
volant,-0.8
volage,-0.5
vol à l'étalage,-0.8
vol,-1
vol,-1
vol,-1
vol,-0.75
vol,-0.5
vol,-0.25
voisin,0.4
voir le,-0.5
voilé,-0.5
voilé,-0.25
vogue,0.6
vœux,0.6
vœux,0.8
vœu,0.6
vocifère,-0.25
vivifiant,1
vivement,0.8
vivement,0.8
vivant,0.5
vivace,0.75
vitriol,-1
vitreux,0.25
vite,1
vitalité,0.5
vital,0.4
vissez ça,-1
visiteur,0.25
visite,0.4
visitation,-0.25
visionnaire,0.75
vision,0.5
visible,0.25
virus,-0.5
virulente,-1
virulent,-0.5
virulence,-0.5
virilité,0.25
viril,0.1
virginité,0.5
vipère,-0.25
violeurs,-1
violeur,-1
violer,-1
violer,-0.5
violent,-0.75
violemment,-0.75
violemment,-0.25
violé,-1
violé,-1
viole,-1
violation de la loi,-0.8
violation,-0.75
violateurs,-1
violateur,-1
vindictivement,-0.25
vindicatif,-0.5
vindicates,0.25
villify,-1
villianeusement,-1
villian,-1
ville natale,0.6
villageois,-0.25
villageois,-0.1
vilipender,-1
vilains,-1
vilain,-0.5
vigueur,0.5
vigoureux,0.5
vigoureux,0.8
vigoureux,1
vigilant,0.6
vigilant,0.75
vigilance,0.5
vigilance,0.6
vif,0.5
vif,0.5
vierge,0.4
vieilli,-0.5
vieille sorcière,-1
vieille fille,-0.5
vie en danger,-1
vides,-0.4
vider l'argent,-1
vide,-1
vide,-0.5
vide,-0.4
vide,-0.25
victorieux,0.5
Victor,0.5
victimiser,-1
victimiser,-0.75
victimisé,-0.75
victimise,-1
victime,-0.75
victime,-0.75
victime,-0.5
vicieux,-0.75
vicieusement,-1
vicié,-0.5
vice,-0.5
vibrer,-1
vibré,-1
vibre,-1
vibration,-1
vibrant,-1
vibrant,1
viable,0.25
vexingly,-1
vexer,-0.5
veuf,-1
vêtir,0.6
vétéran,0.1
vestiges,-0.25
vertueux,0.5
vertueux,0.75
vertueusement,1
vertu,0.5
vertigineux,-1
vertigineux,-0.4
vertigineusement,-1
vertigineusement,-0.4
vertiges,-0.6
vertige,-0.25
versatilité,1
vers l'avant,0.6
verrue,-0.6
vernal,0.25
vermine,-1
vérité,1
Vérifier,0.6
vérifié,0.5
vérification,0.6
vérifiable,0.6
véridique,1
verdoyant,0.8
verbosité,-0.25
verbeux,-1
verbeux,-0.4
véracité,0.5
véracité,0.8
ver,-0.25
ventre,-0.4
ventouse,-0.5
Ventilateurs,0.6
venteux,-0.4
venin,-0.75
venimeux,-1
venimeux,-1
venimeux,-0.5
vengeur,-0.75
vengeance,-1
vengeance,-1
vengeance,-1
vengeance,-1
vengeance,-0.75
vénérer,0.6
vénérer,0.6
vénération,0.5
vénérable,0.6
Vendetta,-0.8
velouté,0.6
véhément,-0.25
végétatif,-0.25
vautour,-0.25
vaut,0.75
vaudou,-0.25
vase,-0.6
variqueux,-0.8
variateur,-1
vapeurs,-0.4
vanté,-1
vantard,-0.5
vampire,-0.1
valse,0.6
vallées,0.25
valider,0.8
valider,0.8
validé,0.8
valide,0.8
valeur,0.5
valedictorien,0.25
vaisseau amiral,0.4
vaincu,-1
vain,-1
vaillant,0.5
vaillamment,1
vaguement,-1
vaguement,-1
vague,-0.75
vague,-0.75
vaginal,-0.25
vagabond,-0.5
vaciller,-1
vaciller,-0.75
vacillant,-1
vacillant,-1
vache,-0.5
vacarme,-0.6
vacarme,-0.25
vacances,0.8
utopique,0.8
utilité,1
utilitaire,0.4
utilisateur remplaçable,1
utilisable,0.6
utilisable,0.6
utile,0.5
utile,0.75
utérus,0.25
usurper l'identité,-0.4
usurper,-0.5
usurpé,-0.8
usurpateur,-0.8
usure,-1
user de représailles,-0.5
usé,-0.1
urinoirs,-0.25
urine,-0.6
urgent,-0.75
urgence,-0.75
unwatchable,-1
unviewable,-1
unlovable,-0.75
unlamentable,-1
Université,0.6
universel,0.4
unité,0.5
unité,1
unitaire,0.25
unisson,0.4
unir,0.6
unique,0.6
unipolaire,-1
unilatéralisme,-1
uniformément,0.4
unifier,1
unifié,0.6
unification,0.4
uni,0.5
ungentlemanly,-0.6
unfixable,-0.8
une rançon,-0.8
une planche,0.25
une descente,-1
une baignoire,0.4
unanimité,0.4
unanime,0.4
un visible,-1
un salaire,0.6
un résolveur de problèmes,1
un raté,-1
un plus,1
un côté,-1
un côté,-0.25
ultramoderne,0.4
ultra hardline,-1
ultra croustillant,1
ultimatums,-0.4
ultimatum,-0.5
ultérieur,-0.5
ulcère,-0.8
tyranniquement,-1
tyrannique,-0.5
tyrannie,-0.5
