x,y
a faible consommation,1.0
a frappé,-0.25
a gagné,0.5
a inventé,0.6
a la chandelle,0.6
a trouvé,0.6
a volé,-0.8000000000000002
abandon,-0.375
abandonne,-0.8000000000000002
abandonner,-0.625
abandonneur,-0.25
abandonné,-0.4625000000000001
abasourdi,-0.25
abattage,-0.875
abattement,-1.0
abattoir,-0.8000000000000002
abattu,-0.875
abcès,-0.5
aberrant,-0.6
aberration,-0.8000000000000002
aberrations,-1.0
abhorrer,-0.5
abhorré,-1.0
abject,-1.0
abolir,-0.5
abominable,-0.5
abominablement,-1.0
abomination,-0.5
abominer,-1.0
abondance,0.6
abondant,0.375
abonde,0.25
abonder,0.25
abordable,0.8666666666666667
abortif,-1.0
abrasif,-0.5
abrasion,-0.6
abri,0.4000000000000001
abroger,-0.4000000000000001
abrupt,-0.5
abrutir,-0.6
absence,-0.5
absent,-0.7833333333333333
absents,-0.6
absentéisme,-1.0
absolu,-0.25
absolution,0.10000000000000002
absorbé,0.5
absoudre,1.0
absous,1.0
abstinence,-0.25
abstraction,-0.25
absurde,-0.6750000000000002
absurdement,-0.8000000000000002
absurdité,-0.6833333333333332
abuser,-0.5
abuser de,-1.0
abusé,-0.775
abysmalement,-1.0
abîme,-0.75
académie,0.4000000000000001
académique,0.4000000000000001
accablant,-0.8000000000000002
accablé,-1.0
accalmie,-1.0
accent,-0.25
accentué,0.25
acceptable,0.65
acceptant,0.6
acceptation,0.8000000000000002
accepte,0.65
acceptez,1.0
accepté,0.8000000000000002
accessible,0.775
accident,-0.5
accident vasculaire cérébral,-0.25
accidentel,-1.0
accidentellement,-0.6
acclamation,0.6750000000000002
acclamer,0.6
acclamé,0.6999999999999998
accolade,0.5
accolades,0.6
accommodable,0.5
accommodatif,0.9
accompagnement,0.425
accompagner,0.4000000000000001
accompli,0.75
accomplir,0.75
accomplissement,0.5
accomplit,0.8000000000000002
accord,0.65
accorder,0.6
accordé,0.8000000000000002
accoster,-0.8000000000000002
accosté,-0.8000000000000002
accouchement,-0.5
accroc,-0.5
accrocheur,1.0
accroché,-0.25
accroupi,-0.25
accrédité,0.8000000000000002
accueillant,1.0
accueille,1.0
accueille les enfants,1.0
accueilli,0.75
accumuler,0.25
accusateur,-1.0
accusatif,-1.0
accusation,-0.7000000000000001
accusations,-0.75
accusativement,-1.0
accuse,-0.5
accuser,-0.65
accusé,-0.5
accélérer,0.25
acerbe,-1.0
acerbiquement,-1.0
achats,0.4000000000000001
achey,-0.8000000000000002
achy,-1.0
achèvement,0.8000000000000002
acide,-0.45
acing,0.25
acquis,0.8000000000000002
acquitte,-0.25
acquitter,-0.25
acquitté,-0.25
acquérir,0.8000000000000002
acridness,-1.0
acrimonie,-1.0
acrimonieusement,-1.0
acrimonieux,-0.5
acte,0.4000000000000001
actif,0.25
action,0.25
action de grâces,0.8000000000000002
actionable,0.25
activer,0.6
activée,0.6
actualité,-0.25
acuité,0.6
adaptable,0.5
adaptatif,0.8000000000000002
adapter,0.8000000000000002
adapté,0.5
addictif,-0.8000000000000002
additionnel,0.25
adhérer,0.4000000000000001
adhéré,0.6
admet,0.6
admettre,0.6
admirable,0.5
admirablement,1.0
admirateur,0.5
admiratif,0.875
admiration,0.875
admire,1.0
admirer,1.0
admiré,0.5
admis,0.6
admissible,0.6999999999999998
admonestation,-0.6
admonestement,-0.6
admonester,-0.6
admonesté,-0.6
admonition,-0.5
adolescent,0.25
adopte,0.4000000000000001
adopter,0.5
adorable,0.75
adorablement,1.0
adorateur,1.0
adoration,1.0
adore,0.5
adorer,0.6666666666666666
adoré,0.375
adorément,1.0
adouci,0.6
adoucit,0.6
adresses,-0.25
adroit,0.6
adroitement,0.6
adrénaline,-0.25
adulation,0.25
adulatoire,0.25
aduler,0.25
adultère,-1.0
adversaire,-0.75
adversaires,-0.6
adversité,-0.5
adéquat,0.5
adéquation,0.8000000000000002
affabilité,0.8000000000000002
affable,0.5
affablement,0.8000000000000002
affaibli,-1.0
affaiblir,-0.5
affaiblissement,-0.5
affaissement,-0.3
affaissements,-0.6
affalé,-0.6
affamer,-0.5
affamé,-0.47
affectation,-0.4000000000000001
affectations,-0.4000000000000001
affection,1.0
affectueusement,0.5
affectueux,0.5
affilié,0.25
affiner,0.5
affinité,0.8000000000000002
affirmation,0.5
affirmative,0.5
affirmativement,0.8000000000000002
affirmer,0.5
affleurer,-0.4000000000000001
affliction,-0.775
afflictive,-1.0
affliger,-0.75
affligé,-0.5
affluent,0.5
affolant,-1.0
affolé,-0.8000000000000002
affreusement,-1.0
affreux,-0.5
affront,-0.75
affronte,-0.6
affrontement,-1.0
affronter,-0.6
affronté,-1.0
aficionado,0.8000000000000002
agace,-0.5
agacé,-0.5
agaçant,-1.0
agent infiltré,-0.6
aggloméré,-0.4000000000000001
aggravant,-0.75
aggravation,-0.75
aggrave,-1.0
aggraver,-0.5
aggravé,-0.875
agile,0.575
