"logloss";"eta";"max_depth";"subsample";"colsample_bytree";"objective";"eval_metric";"num_class";"nthread";"tree_method";"silent"
0,872085;0,1;6;0,1;0,1;"multi:softmax";"mlogloss";3;2;"auto";1
0,849957;0,1;6;0,1;0,2;"multi:softmax";"mlogloss";3;2;"auto";1
0,843569;0,1;6;0,1;0,3;"multi:softmax";"mlogloss";3;2;"auto";1
0,84304;0,1;6;0,1;0,4;"multi:softmax";"mlogloss";3;2;"auto";1
0,836476;0,1;6;0,1;0,5;"multi:softmax";"mlogloss";3;2;"auto";1
0,837956;0,1;6;0,1;0,6;"multi:softmax";"mlogloss";3;2;"auto";1
0,831949;0,1;6;0,1;0,7;"multi:softmax";"mlogloss";3;2;"auto";1
0,819937;0,1;6;0,1;0,8;"multi:softmax";"mlogloss";3;2;"auto";1
0,834026;0,1;6;0,1;0,9;"multi:softmax";"mlogloss";3;2;"auto";1
0,814901;0,1;6;0,1;1;"multi:softmax";"mlogloss";3;2;"auto";1
0,839214;0,1;6;0,2;0,1;"multi:softmax";"mlogloss";3;2;"auto";1
0,836234;0,1;6;0,2;0,2;"multi:softmax";"mlogloss";3;2;"auto";1
0,825211;0,1;6;0,2;0,3;"multi:softmax";"mlogloss";3;2;"auto";1
0,809976;0,1;6;0,2;0,4;"multi:softmax";"mlogloss";3;2;"auto";1
0,811194;0,1;6;0,2;0,5;"multi:softmax";"mlogloss";3;2;"auto";1
0,828603;0,1;6;0,2;0,6;"multi:softmax";"mlogloss";3;2;"auto";1
0,827811;0,1;6;0,2;0,7;"multi:softmax";"mlogloss";3;2;"auto";1
0,818491;0,1;6;0,2;0,8;"multi:softmax";"mlogloss";3;2;"auto";1
0,824953;0,1;6;0,2;0,9;"multi:softmax";"mlogloss";3;2;"auto";1
0,826663;0,1;6;0,2;1;"multi:softmax";"mlogloss";3;2;"auto";1
0,846794;0,1;6;0,3;0,1;"multi:softmax";"mlogloss";3;2;"auto";1
0,828444;0,1;6;0,3;0,2;"multi:softmax";"mlogloss";3;2;"auto";1
0,827034;0,1;6;0,3;0,3;"multi:softmax";"mlogloss";3;2;"auto";1
0,819718;0,1;6;0,3;0,4;"multi:softmax";"mlogloss";3;2;"auto";1
0,81116;0,1;6;0,3;0,5;"multi:softmax";"mlogloss";3;2;"auto";1
0,819715;0,1;6;0,3;0,6;"multi:softmax";"mlogloss";3;2;"auto";1
0,819258;0,1;6;0,3;0,7;"multi:softmax";"mlogloss";3;2;"auto";1
0,805389;0,1;6;0,3;0,8;"multi:softmax";"mlogloss";3;2;"auto";1
0,81464;0,1;6;0,3;0,9;"multi:softmax";"mlogloss";3;2;"auto";1
0,811732;0,1;6;0,3;1;"multi:softmax";"mlogloss";3;2;"auto";1
0,848797;0,1;6;0,4;0,1;"multi:softmax";"mlogloss";3;2;"auto";1
0,83289;0,1;6;0,4;0,2;"multi:softmax";"mlogloss";3;2;"auto";1
0,818913;0,1;6;0,4;0,3;"multi:softmax";"mlogloss";3;2;"auto";1
0,813166;0,1;6;0,4;0,4;"multi:softmax";"mlogloss";3;2;"auto";1
0,817303;0,1;6;0,4;0,5;"multi:softmax";"mlogloss";3;2;"auto";1
0,818008;0,1;6;0,4;0,6;"multi:softmax";"mlogloss";3;2;"auto";1
0,816671;0,1;6;0,4;0,7;"multi:softmax";"mlogloss";3;2;"auto";1
0,823129;0,1;6;0,4;0,8;"multi:softmax";"mlogloss";3;2;"auto";1
0,816575;0,1;6;0,4;0,9;"multi:softmax";"mlogloss";3;2;"auto";1
0,812913;0,1;6;0,4;1;"multi:softmax";"mlogloss";3;2;"auto";1
0,835492;0,1;6;0,5;0,1;"multi:softmax";"mlogloss";3;2;"auto";1
0,817646;0,1;6;0,5;0,2;"multi:softmax";"mlogloss";3;2;"auto";1
0,822425;0,1;6;0,5;0,3;"multi:softmax";"mlogloss";3;2;"auto";1
0,821972;0,1;6;0,5;0,4;"multi:softmax";"mlogloss";3;2;"auto";1
0,81201;0,1;6;0,5;0,5;"multi:softmax";"mlogloss";3;2;"auto";1
0,812121;0,1;6;0,5;0,6;"multi:softmax";"mlogloss";3;2;"auto";1
0,814319;0,1;6;0,5;0,7;"multi:softmax";"mlogloss";3;2;"auto";1
0,82073;0,1;6;0,5;0,8;"multi:softmax";"mlogloss";3;2;"auto";1
0,817841;0,1;6;0,5;0,9;"multi:softmax";"mlogloss";3;2;"auto";1
0,808953;0,1;6;0,5;1;"multi:softmax";"mlogloss";3;2;"auto";1
0,838671;0,1;6;0,6;0,1;"multi:softmax";"mlogloss";3;2;"auto";1
0,822326;0,1;6;0,6;0,2;"multi:softmax";"mlogloss";3;2;"auto";1
0,81406;0,1;6;0,6;0,3;"multi:softmax";"mlogloss";3;2;"auto";1
0,815107;0,1;6;0,6;0,4;"multi:softmax";"mlogloss";3;2;"auto";1
0,819005;0,1;6;0,6;0,5;"multi:softmax";"mlogloss";3;2;"auto";1
0,815696;0,1;6;0,6;0,6;"multi:softmax";"mlogloss";3;2;"auto";1
0,810893;0,1;6;0,6;0,7;"multi:softmax";"mlogloss";3;2;"auto";1
0,820418;0,1;6;0,6;0,8;"multi:softmax";"mlogloss";3;2;"auto";1
0,817613;0,1;6;0,6;0,9;"multi:softmax";"mlogloss";3;2;"auto";1
0,820275;0,1;6;0,6;1;"multi:softmax";"mlogloss";3;2;"auto";1
0,841746;0,1;6;0,7;0,1;"multi:softmax";"mlogloss";3;2;"auto";1
0,822641;0,1;6;0,7;0,2;"multi:softmax";"mlogloss";3;2;"auto";1
0,832111;0,1;6;0,7;0,3;"multi:softmax";"mlogloss";3;2;"auto";1
0,825057;0,1;6;0,7;0,4;"multi:softmax";"mlogloss";3;2;"auto";1
0,811156;0,1;6;0,7;0,5;"multi:softmax";"mlogloss";3;2;"auto";1
0,823882;0,1;6;0,7;0,6;"multi:softmax";"mlogloss";3;2;"auto";1
0,805605;0,1;6;0,7;0,7;"multi:softmax";"mlogloss";3;2;"auto";1
0,821433;0,1;6;0,7;0,8;"multi:softmax";"mlogloss";3;2;"auto";1
0,817848;0,1;6;0,7;0,9;"multi:softmax";"mlogloss";3;2;"auto";1
0,819712;0,1;6;0,7;1;"multi:softmax";"mlogloss";3;2;"auto";1
0,837627;0,1;6;0,8;0,1;"multi:softmax";"mlogloss";3;2;"auto";1
0,822992;0,1;6;0,8;0,2;"multi:softmax";"mlogloss";3;2;"auto";1
0,814796;0,1;6;0,8;0,3;"multi:softmax";"mlogloss";3;2;"auto";1
0,821904;0,1;6;0,8;0,4;"multi:softmax";"mlogloss";3;2;"auto";1
0,814394;0,1;6;0,8;0,5;"multi:softmax";"mlogloss";3;2;"auto";1
0,817834;0,1;6;0,8;0,6;"multi:softmax";"mlogloss";3;2;"auto";1
0,820281;0,1;6;0,8;0,7;"multi:softmax";"mlogloss";3;2;"auto";1
0,820407;0,1;6;0,8;0,8;"multi:softmax";"mlogloss";3;2;"auto";1
0,812036;0,1;6;0,8;0,9;"multi:softmax";"mlogloss";3;2;"auto";1
